COD_DISCIPLINA,NOME_DISCIPLINA,COD_CURSO,MULTIPLA_ESCOLHA,CURSO,IDPROGRAMA,SETOR_CURSO
DCV027,CLÍNICA MÉDICA E CIRÚRGICA DE ANIMAIS SILVESTRES,40001016077G0,Não,MEDICINA VETERINÁRIA  - Presencial - Palotina,40001016077G0,SETOR PALOTINA
DCV030,"INSPEÇÃO SANITÁRIA E TECNOLOGIA DE LEITE, OVOS, PESCADO, MEL E DERIVADOS",40001016077G0,Não,MEDICINA VETERINÁRIA  - Presencial - Palotina,40001016077G0,SETOR PALOTINA
DCV032,SAÚDE PÚBLICA E SANEAMENTO AMBIENTAL,40001016077G0,Não,MEDICINA VETERINÁRIA  - Presencial - Palotina,40001016077G0,SETOR PALOTINA
TE302,INTRODUÇÃO À ELETROQUÍMICA PARA EE,40001016039G0,Não,ENGENHARIA ELÉTRICA  - Presencial - Curitiba,40001016039G0,SETOR DE TECNOLOGIA
TE303,FÍSICA I PARA EE,40001016039G0,Não,ENGENHARIA ELÉTRICA  - Presencial - Curitiba,40001016039G0,SETOR DE TECNOLOGIA
TE314,ELETRÔNICA DIGITAL,40001016039G0,Não,ENGENHARIA ELÉTRICA  - Presencial - Curitiba,40001016039G0,SETOR DE TECNOLOGIA
TE373,PROJETO DE EXTENSÃO C,40001016039G0,Não,ENGENHARIA ELÉTRICA  - Presencial - Curitiba,40001016039G0,SETOR DE TECNOLOGIA
HS326,ATIVIDADES CURRICULARES DE EXTENSÃO EM ANTROPOLOGIA E ARQUEOLOGIA I,40001016016G0,Não,CIÊNCIAS SOCIAIS  - Presencial - Curitiba,40001016016G0,SETOR DE CIÊNCIAS HUMANAS
DEE314,QUÍMICA ANALÍTICA QUANTITATIVA,40001016004G0,Não,AGRONOMIA  - Presencial - Palotina,40001016004G0,SETOR PALOTINA
DEE315,QUÍMICA ANALÍTICA QUANTITATIVA EXPERIMENTAL,40001016004G0,Não,AGRONOMIA  - Presencial - Palotina,40001016004G0,SETOR PALOTINA
DS220,ANÁLISE E PROJETO DE SISTEMAS I,40001016111G0,Não,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS  - Presencial - Curitiba,40001016111G0,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
DS320,BANCO DE DADOS I,40001016111G0,Não,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS  - Presencial - Curitiba,40001016111G0,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
GA158,PROJETO FINAL,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
GB122,ZONEAMENTO GEOGRÁFICO AMBIENTAL,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
DB139,TÓPICOS DE DIREITOS HUMANOS E FUNDAMENTAIS A,40001016021G0,Não,DIREITO  - Presencial - Curitiba,40001016021G0,SETOR DE CIÊNCIAS JURÍDICAS
DC067,PROCESSO COLETIVO,40001016021G0,Não,DIREITO  - Presencial - Curitiba,40001016021G0,SETOR DE CIÊNCIAS JURÍDICAS
DC102,PROCEDIMENTOS ESPECIAIS,40001016021G0,Não,DIREITO  - Presencial - Curitiba,40001016021G0,SETOR DE CIÊNCIAS JURÍDICAS
AS055,DENDROMETRIA,40001016040G0,Não,ENGENHARIA FLORESTAL  - Presencial - Curitiba,40001016040G0,SETOR DE CIÊNCIAS AGRÁRIAS
AS058,PLANTAÇÕES FLORESTAIS,40001016040G0,Não,ENGENHARIA FLORESTAL  - Presencial - Curitiba,40001016040G0,SETOR DE CIÊNCIAS AGRÁRIAS
AS068,CERTIFICAÇÃO FLORESTAL I,40001016040G0,Não,ENGENHARIA FLORESTAL  - Presencial - Curitiba,40001016040G0,SETOR DE CIÊNCIAS AGRÁRIAS
AS069,ESTUDOS DE IMPACTOS AMBIENTAIS,40001016040G0,Não,ENGENHARIA FLORESTAL  - Presencial - Curitiba,40001016040G0,SETOR DE CIÊNCIAS AGRÁRIAS
GA082,TOPOGRAFIA II,40001016040G0,Não,ENGENHARIA FLORESTAL  - Presencial - Curitiba,40001016040G0,SETOR DE CIÊNCIAS AGRÁRIAS
SLAP013,GESTÃO DE INFORMAÇÕES E GOVERNO ELETRÔNICO,40001016123G0,Não,ADMINISTRAÇÃO PÚBLICA  - Presencial - Matinhos,40001016123G0,SETOR LITORAL
SLAP014,"SISTEMA DE CONTROLE, TRANSPARÊNCIA E ACCOUNTABILITY",40001016123G0,Não,ADMINISTRAÇÃO PÚBLICA  - Presencial - Matinhos,40001016123G0,SETOR LITORAL
SLAP021,PA - TCC I,40001016123G0,Não,ADMINISTRAÇÃO PÚBLICA  - Presencial - Matinhos,40001016123G0,SETOR LITORAL
SLAP027,ORÇAMENTO E CONTABILIDADE PÚBLICA,40001016123G0,Não,ADMINISTRAÇÃO PÚBLICA  - Presencial - Matinhos,40001016123G0,SETOR LITORAL
SLAP038,GOVERNANÇA PÚBLICA,40001016123G0,Não,ADMINISTRAÇÃO PÚBLICA  - Presencial - Matinhos,40001016123G0,SETOR LITORAL
SLAP057,METODOLOGIA,40001016123G0,Não,ADMINISTRAÇÃO PÚBLICA  - Presencial - Matinhos,40001016123G0,SETOR LITORAL
SLAP066,"VIOLÊNCIA, GÊNERO E POLÍTICAS PÚBLICAS",40001016123G0,Não,ADMINISTRAÇÃO PÚBLICA  - Presencial - Matinhos,40001016123G0,SETOR LITORAL
SL57,INTERAÇÕES CULTURAIS E HUMANÍSTICAS,40001016123G0,Não,ADMINISTRAÇÃO PÚBLICA  - Presencial - Matinhos,40001016123G0,SETOR LITORAL
TT548,MOBILIDADE URBANA,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
HTT264,ESTÁGIO EM TURISMO I,40001016113G0,Não,TURISMO  - Presencial - Curitiba,40001016113G0,SETOR DE CIÊNCIAS HUMANAS
HTT299,PROJETO DE PLANEJAMENTO E GESTÃO EM TURISMO I,40001016113G0,Não,TURISMO  - Presencial - Curitiba,40001016113G0,SETOR DE CIÊNCIAS HUMANAS
ME018,CIRURG.E TRAUMAT.BUCO-MAXILO-FACIAIS III,40001016081G0,Não,ODONTOLOGIA  - Presencial - Curitiba,40001016081G0,SETOR DE CIÊNCIAS DA SAÚDE
TT591,INTRODUÇÃO À ENGENHARIA E INOVAÇÃO,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TA116,CIDADE E MEIO AMBIENTE I,40001016005G0,Não,ARQUITETURA E URBANISMO  - Presencial - Curitiba,40001016005G0,SETOR DE TECNOLOGIA
CE035,CÁLCULO DE PROBABILIDADES A,40001016049G0,Não,FÍSICA  - Presencial - Curitiba,40001016049G0,SETOR DE CIÊNCIAS EXATAS
CM313,CÁLCULO 3,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC401EAD,CIÊNCIA DOS MATERIAIS,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC503,METROLOGIA E INSTRUMENTAÇÃO,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC601,TERMODINÂMICA I,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
HH116,HISTÓRIA ANTIGA,40001016113G0,Não,TURISMO  - Presencial - Curitiba,40001016113G0,SETOR DE CIÊNCIAS HUMANAS
HTT269,TURISMO E COMUNICAÇÃO,40001016113G0,Não,TURISMO  - Presencial - Curitiba,40001016113G0,SETOR DE CIÊNCIAS HUMANAS
CMM025,EDUCAÇÃO ALGÉBRICA 1,40001016070G0,Não,MATEMÁTICA  - Presencial - Curitiba,40001016070G0,SETOR DE CIÊNCIAS EXATAS
CMM116,TÓPICOS DE HISTÓRIA E FILOSOFIA DA MATEMÁTICA 1,40001016070G0,Não,MATEMÁTICA  - Presencial - Curitiba,40001016070G0,SETOR DE CIÊNCIAS EXATAS
ET171,EDUCAÇÃO EM DIREITOS HUMANOS,40001016012G0,Não,CIÊNCIAS BIOLÓGICAS  - Presencial - Curitiba,40001016012G0,SETOR DE CIÊNCIAS BIOLÓGICAS
SLEX54,INTERAÇÕES CULTURAIS E HUMANÍSTICAS,40001016138G0,Não,SERVIÇO SOCIAL  - Presencial - Matinhos,40001016138G0,SETOR LITORAL
SLSE204,PROJETO DE APRENDIZAGEM II - RECONHECIMENTO DO LITORAL PARANAENSE,40001016138G0,Não,SERVIÇO SOCIAL  - Presencial - Matinhos,40001016138G0,SETOR LITORAL
SLSE505,PROJETO DE APRENDIZAGEM V – OFICINA DE INTERAÇÃO COM OS ESPAÇOS SÓCIO-OCUPACIONAIS.,40001016138G0,Não,SERVIÇO SOCIAL  - Presencial - Matinhos,40001016138G0,SETOR LITORAL
SLSO501,INSTRUMENTALIDADE E TRABALHO PROFISSIONAL,40001016138G0,Não,SERVIÇO SOCIAL  - Presencial - Matinhos,40001016138G0,SETOR LITORAL
