COD_DISCIPLINA,NOME_DISCIPLINA,COD_CURSO,MULTIPLA_ESCOLHA,CURSO,IDPROGRAMA,SETOR_CURSO
EAS171,POLUIÇÃO DOS AMBIENTES COSTEIROS E MARINHOS,40001016027G0,Não,ENGENHARIA AMBIENTAL E SANITÁRIA  - Presencial - Pontal do Paraná,40001016027G0,CENTRO DE ESTUDOS DO MAR
EAS172-EAD,QUALIDADE DA ÁGUA,40001016027G0,Não,ENGENHARIA AMBIENTAL E SANITÁRIA  - Presencial - Pontal do Paraná,40001016027G0,CENTRO DE ESTUDOS DO MAR
EAS174,GEOPROCESSAMENTO,40001016027G0,Não,ENGENHARIA AMBIENTAL E SANITÁRIA  - Presencial - Pontal do Paraná,40001016027G0,CENTRO DE ESTUDOS DO MAR
PP015,CÁLCULO NUMÉRICO,40001016027G0,Não,ENGENHARIA AMBIENTAL E SANITÁRIA  - Presencial - Pontal do Paraná,40001016027G0,CENTRO DE ESTUDOS DO MAR
PP035-EAD,BIOQUÍMICA,40001016027G0,Não,ENGENHARIA AMBIENTAL E SANITÁRIA  - Presencial - Pontal do Paraná,40001016027G0,CENTRO DE ESTUDOS DO MAR
HF0007,LÓGICA I,40001016047G0,Não,FILOSOFIA  - Presencial - Curitiba,40001016047G0,SETOR DE CIÊNCIAS HUMANAS
HF0009,FILOSOFIA MEDIEVAL I,40001016047G0,Não,FILOSOFIA  - Presencial - Curitiba,40001016047G0,SETOR DE CIÊNCIAS HUMANAS
HF0012,TEORIA DO CONHECIMENTO,40001016047G0,Não,FILOSOFIA  - Presencial - Curitiba,40001016047G0,SETOR DE CIÊNCIAS HUMANAS
HF1505,TÓPICOS ESPECIAIS EM FILOSOFIA CONTEMPORÂNEA I,40001016047G0,Não,FILOSOFIA  - Presencial - Curitiba,40001016047G0,SETOR DE CIÊNCIAS HUMANAS
TC512,CARACTERIZAÇÃO GEOLÓGICA-GEOTÉCNICA,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TC513,MECÂNICA DOS SÓLIDOS II,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TC514,MATERIAIS DE CONSTRUÇÃO CIVIL II,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TC592,ENGENHARIA CIVIL E SUSTENTABILIDADE,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TH504,HIDRÁULICA,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TH508,CIÊNCIAS DO AMBIENTE,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TT502,PLANEJAMENTO E OPERAÇÃO DE TRANSPORTES,40001016030G0,Não,ENGENHARIA CIVIL  - Presencial - Curitiba,40001016030G0,SETOR DE TECNOLOGIA
TA097,PATRIMÔNIO E TÉCNICAS RETROSPECTIVAS I,40001016005G0,Não,ARQUITETURA E URBANISMO  - Presencial - Curitiba,40001016005G0,SETOR DE TECNOLOGIA
TA105,ARQUITETURA III,40001016005G0,Não,ARQUITETURA E URBANISMO  - Presencial - Curitiba,40001016005G0,SETOR DE TECNOLOGIA
TA124,PLANEJAMENTO URBANO E REGIONAL I,40001016005G0,Não,ARQUITETURA E URBANISMO  - Presencial - Curitiba,40001016005G0,SETOR DE TECNOLOGIA
TA140,AMBIENTE CONSTRUÍDO III,40001016005G0,Não,ARQUITETURA E URBANISMO  - Presencial - Curitiba,40001016005G0,SETOR DE TECNOLOGIA
TA142,ESTÁGIO SUPERVISIONADO OBRIGATÓRIO,40001016005G0,Não,ARQUITETURA E URBANISMO  - Presencial - Curitiba,40001016005G0,SETOR DE TECNOLOGIA
TH053,SANEAMENTO URBANO II,40001016005G0,Não,ARQUITETURA E URBANISMO  - Presencial - Curitiba,40001016005G0,SETOR DE TECNOLOGIA
AV125,BIOTECNOLOGIA DA REPRODUÇÃO ANIMAL,40001016076G0,Não,MEDICINA VETERINÁRIA  - Presencial - Curitiba,40001016076G0,SETOR DE CIÊNCIAS AGRÁRIAS
BT017,FARMACOLOGIA APLICADA E TERAPÊUTICA,40001016076G0,Não,MEDICINA VETERINÁRIA  - Presencial - Curitiba,40001016076G0,SETOR DE CIÊNCIAS AGRÁRIAS
SC301,INTRODUÇÃO À CONTABILIDADE,40001016006G0,Não,CIÊNCIAS CONTÁBEIS  - Presencial - Curitiba,40001016006G0,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
CF109,FÍSICA I,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
CM311,CÁLCULO 1,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC200,INTRODUÇÃO À ENGENHARIA MECÂNICA,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC201,GEOMETRIA ANALÍTICA,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC202,LINGUAGEM DE PROGRAMAÇÃO,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC501,DESENHO MECÂNICO I,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
DS122,DESENVOLVIMENTO WEB I,40001016111G0,Não,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS  - Presencial - Curitiba,40001016111G0,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
DS211,SISTEMAS DE INFORMAÇÃO,40001016111G0,Não,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS  - Presencial - Curitiba,40001016111G0,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
BF099,FISIOLOGIA PARA FISIOTERAPIA I,40001016052G0,Não,FISIOTERAPIA  - Presencial - Curitiba,40001016052G0,SETOR DE CIÊNCIAS BIOLÓGICAS
BP086,PATOLOGIA GERAL APLICADA À FISIOTERAPIA,40001016052G0,Não,FISIOTERAPIA  - Presencial - Curitiba,40001016052G0,SETOR DE CIÊNCIAS BIOLÓGICAS
DPRF068,FISIOTERAPIA MUSCULOESQUELÉTICA I,40001016052G0,Não,FISIOTERAPIA  - Presencial - Curitiba,40001016052G0,SETOR DE CIÊNCIAS BIOLÓGICAS
DPRF074,FISIOTERAPIA NEUROFUNCIONAL III,40001016052G0,Não,FISIOTERAPIA  - Presencial - Curitiba,40001016052G0,SETOR DE CIÊNCIAS BIOLÓGICAS
DPRF095,PROJETOS DE APRENDIZAGEM IV,40001016052G0,Não,FISIOTERAPIA  - Presencial - Curitiba,40001016052G0,SETOR DE CIÊNCIAS BIOLÓGICAS
MN136,"SAÚDE, SOCIEDADE E MEIO AMBIENTE",40001016052G0,Não,FISIOTERAPIA  - Presencial - Curitiba,40001016052G0,SETOR DE CIÊNCIAS BIOLÓGICAS
BE0001,INTRODUÇÃO À EDUCAÇÃO FÍSICA,40001016022G0,Não,EDUCAÇÃO FÍSICA  - Presencial - Curitiba,40001016022G0,SETOR DE CIÊNCIAS BIOLÓGICAS
BE0002,PRÁTICAS RÍTMICAS E EXPRESSIVAS,40001016022G0,Não,EDUCAÇÃO FÍSICA  - Presencial - Curitiba,40001016022G0,SETOR DE CIÊNCIAS BIOLÓGICAS
BE0010,HISTÓRIA DA EDUCAÇÃO FÍSICA,40001016022G0,Não,EDUCAÇÃO FÍSICA  - Presencial - Curitiba,40001016022G0,SETOR DE CIÊNCIAS BIOLÓGICAS
BE0011,VOLEIBOL,40001016022G0,Não,EDUCAÇÃO FÍSICA  - Presencial - Curitiba,40001016022G0,SETOR DE CIÊNCIAS BIOLÓGICAS
BE0022,INTRODUÇÃO AO TRABALHO ACADÊMICO,40001016022G0,Não,EDUCAÇÃO FÍSICA  - Presencial - Curitiba,40001016022G0,SETOR DE CIÊNCIAS BIOLÓGICAS
CE304,TEORIA DA PROBABILIDADE 1 ,40001016044G0,Não,ESTATÍSTICA E CIÊNCIA DE DADOS  - Presencial - Curitiba,40001016044G0,SETOR DE CIÊNCIAS EXATAS
CE313,ESTATÍSTICA NÃO-PARAMÉTRICA,40001016044G0,Não,ESTATÍSTICA E CIÊNCIA DE DADOS  - Presencial - Curitiba,40001016044G0,SETOR DE CIÊNCIAS EXATAS
CI240,FUNDAMENTOS DE PROGRAMAÇÃO,40001016044G0,Não,ESTATÍSTICA E CIÊNCIA DE DADOS  - Presencial - Curitiba,40001016044G0,SETOR DE CIÊNCIAS EXATAS
CMM014,CÁLCULO NUMÉRICO,40001016044G0,Não,ESTATÍSTICA E CIÊNCIA DE DADOS  - Presencial - Curitiba,40001016044G0,SETOR DE CIÊNCIAS EXATAS
CM312,CÁLCULO 2,40001016044G0,Não,ESTATÍSTICA E CIÊNCIA DE DADOS  - Presencial - Curitiba,40001016044G0,SETOR DE CIÊNCIAS EXATAS
EM282,METODOLOGIA DO ENSINO DE MÚSICA,40001016078G0,Não,MÚSICA  - Presencial - Curitiba,40001016078G0,SETOR DE ARTES COMUNICAÇÃO E DESIGN
EP124,POLÍTICA E PLANEJAMENTO DA EDUCAÇÃO BRASILEIRA,40001016078G0,Não,MÚSICA  - Presencial - Curitiba,40001016078G0,SETOR DE ARTES COMUNICAÇÃO E DESIGN
ET171,EDUCAÇÃO EM DIREITOS HUMANOS,40001016078G0,Não,MÚSICA  - Presencial - Curitiba,40001016078G0,SETOR DE ARTES COMUNICAÇÃO E DESIGN
OA826,FUNDAMENTOS DA EDUCAÇÃO MUSICAL I,40001016078G0,Não,MÚSICA  - Presencial - Curitiba,40001016078G0,SETOR DE ARTES COMUNICAÇÃO E DESIGN
OA832,PERCEPÇÃO MUSICAL III,40001016078G0,Não,MÚSICA  - Presencial - Curitiba,40001016078G0,SETOR DE ARTES COMUNICAÇÃO E DESIGN
OA853,APRECIAÇÃO MUSICAL V,40001016078G0,Não,MÚSICA  - Presencial - Curitiba,40001016078G0,SETOR DE ARTES COMUNICAÇÃO E DESIGN
OA898,PRÁTICA ARTÍSTICA V,40001016078G0,Não,MÚSICA  - Presencial - Curitiba,40001016078G0,SETOR DE ARTES COMUNICAÇÃO E DESIGN
HSS101,SOCIOLOGIA E ORGANIZAÇÕES,40001016001G0,Não,ADMINISTRAÇÃO  - Presencial - Curitiba,40001016001G0,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
SAOB18,INTRODUÇÃO AO EMPREENDEDORISMO,40001016001G0,Não,ADMINISTRAÇÃO  - Presencial - Curitiba,40001016001G0,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
SAOB21,MATEMÁTICA FINANCEIRA,40001016001G0,Não,ADMINISTRAÇÃO  - Presencial - Curitiba,40001016001G0,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
SAOB23,PENSAMENTO ADMINISTRATIVO,40001016001G0,Não,ADMINISTRAÇÃO  - Presencial - Curitiba,40001016001G0,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
SAOB26,PRINCÍPIOS DE MARKETING,40001016001G0,Não,ADMINISTRAÇÃO  - Presencial - Curitiba,40001016001G0,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
CE009,INTRODUÇÃO À ESTATÍSTICA,40001016054G0,Não,GEOGRAFIA  - Presencial - Curitiba,40001016054G0,SETOR DE CIÊNCIAS DA TERRA
EP126,ORGANIZAÇÃO DO TRABALHO PEDAGÓGICO NA ESCOLA,40001016054G0,Não,GEOGRAFIA  - Presencial - Curitiba,40001016054G0,SETOR DE CIÊNCIAS DA TERRA
ET084,PSICOLOGIA DA EDUCAÇÃO,40001016054G0,Não,GEOGRAFIA  - Presencial - Curitiba,40001016054G0,SETOR DE CIÊNCIAS DA TERRA
ET173,EDUCAÇÃO AMBIENTAL,40001016054G0,Não,GEOGRAFIA  - Presencial - Curitiba,40001016054G0,SETOR DE CIÊNCIAS DA TERRA
GB818,GEOGRAFIA POLÍTICA E GEOPOLÍTICA,40001016054G0,Não,GEOGRAFIA  - Presencial - Curitiba,40001016054G0,SETOR DE CIÊNCIAS DA TERRA
GB822,TRABALHO DE CONCLUSÃO DE CURSO - LICENCIATURA EM GEOGRAFIA I (TCC - LIC I),40001016054G0,Não,GEOGRAFIA  - Presencial - Curitiba,40001016054G0,SETOR DE CIÊNCIAS DA TERRA
GB823,ESTÁGIO DE PESQUISA EM EDUCAÇÃO GEOGRÁFICA I (EPEG I),40001016054G0,Não,GEOGRAFIA  - Presencial - Curitiba,40001016054G0,SETOR DE CIÊNCIAS DA TERRA
STO177,PROCESSO DE TERAPIA OCUPACIONAL NAS ALTERAÇÕES DE DESENVOLVIMENTO E CONTEXTOS ESCOLARES II,40001016112G0,Não,TERAPIA OCUPACIONAL  - Presencial - Curitiba,40001016112G0,SETOR DE CIÊNCIAS DA SAÚDE
STO188,TRABALHO DE CONCLUSÃO DE CURSO II,40001016112G0,Não,TERAPIA OCUPACIONAL  - Presencial - Curitiba,40001016112G0,SETOR DE CIÊNCIAS DA SAÚDE
CF110,FÍSICA II,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
CF113,FÍSICA EXPERIMENTAL I,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
CM312,CÁLCULO 2,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC138,ENGENHARIA ECONÔMICA,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC205,QUÍMICA TECNOLÓGICA,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC301,ESTÁTICA,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
HE1359,LÍNGUA FRANCESA VII,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
HE1376,PRODUÇÃO ORAL EM FRANCÊS LÍNGUA ESTRANGEIRA,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
HE1381,REFLEXÃO DIDÁTICO-LINGUÍSTICA EM FRANCÊS LÍNGUA ESTRANGEIRA,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
HE1388,TÓPICOS DE TRADUÇÃO EM FRANCÊS-PORTUGUÊS I,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
HL905,INTRODUÇÃO À LINGUÍSTICA I,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
HPAC0400,LÍNGUA POLONESA 1,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
HPAC0408,COMPREENSÃO E EXPRESSÃO ORAL EM POLONÊS 1,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
CF2417,ELETROMAGNETISMO 1,40001016049G0,Não,FÍSICA  - Presencial - Curitiba,40001016049G0,SETOR DE CIÊNCIAS EXATAS
BIO031,INTRODUÇÃO À EXTENSÃO,40001016012G0,Não,CIÊNCIAS BIOLÓGICAS  - Presencial - Curitiba,40001016012G0,SETOR DE CIÊNCIAS BIOLÓGICAS
BIO033,METODOLOGIA CIENTÍFICA EM BIOLOGIA,40001016012G0,Não,CIÊNCIAS BIOLÓGICAS  - Presencial - Curitiba,40001016012G0,SETOR DE CIÊNCIAS BIOLÓGICAS
BIO034,ASPECTOS ÉTICOS E LEGISLAÇÃO PROFISSIONAL,40001016012G0,Não,CIÊNCIAS BIOLÓGICAS  - Presencial - Curitiba,40001016012G0,SETOR DE CIÊNCIAS BIOLÓGICAS
BIO051,BIOLOGIA DE CAMPO I,40001016012G0,Não,CIÊNCIAS BIOLÓGICAS  - Presencial - Curitiba,40001016012G0,SETOR DE CIÊNCIAS BIOLÓGICAS
BQ131,BIOQUÍMICA PARA BIOLOGIA I,40001016012G0,Não,CIÊNCIAS BIOLÓGICAS  - Presencial - Curitiba,40001016012G0,SETOR DE CIÊNCIAS BIOLÓGICAS
BZ045,BIOLOGIA HISTÓRICA,40001016012G0,Não,CIÊNCIAS BIOLÓGICAS  - Presencial - Curitiba,40001016012G0,SETOR DE CIÊNCIAS BIOLÓGICAS
CQ167,QUÍMICA GERAL,40001016012G0,Não,CIÊNCIAS BIOLÓGICAS  - Presencial - Curitiba,40001016012G0,SETOR DE CIÊNCIAS BIOLÓGICAS
SLAGR008,ECOLOGIA,40001016124G0,Não,AGROECOLOGIA  - Presencial - Matinhos,40001016124G0,SETOR LITORAL
TMEC015,INTRODUÇÃO AOS MATERIAIS,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC085,TÓPICOS ESPECIAIS EM ENGENHARIA MECÂNICA I - MSPM,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC203,ÁLGEBRA LINEAR APLICADA,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
TMEC204,ESTATÍSTICA APLICADA,40001016042G0,Não,ENGENHARIA MECÂNICA  - Presencial - Curitiba,40001016042G0,SETOR DE TECNOLOGIA
EP126,ORGANIZAÇÃO DO TRABALHO PEDAGÓGICO NA ESCOLA,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
HE1264,LÍNGUA ESPANHOLA I,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
HL910,SEMÂNTICA E PRAGMÁTICA,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
HL924,LITERATURA E LEITURA NA ESCOLA,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
GA113,PROJEÇÕES CARTOGRÁFICAS II,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
GA114,FOTOGRAMETRIA I,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
GA115,SENSORIAMENTO REMOTO II,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
GA118,COMUNICAÇÃO E EXPRESSÃO,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
GA212,FUNDAMENTOS EM GEODÉSIA,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
GA216,SISTEMAS DE REFERÊNCIA E TEMPO,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
GA217,BANCO DE DADOS GEOGRÁFICOS,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
GC138,GEOFÍSICA BÁSICA,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
GA125,LEVANTAMENTOS GEODÉSICOS I,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
GA126,CARTOGRAFIA TEMÁTICA,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
GA127,FOTOGRAMETRIA III,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
GA128,MECÂNICA E ESTRUTURAS GEODÉSICAS I,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
TT082,PROJETO DE OBRAS VIÁRIAS E PLANEJAMENTO URBANO,40001016028G0,Não,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,40001016028G0,SETOR DE CIÊNCIAS DA TERRA
CF2412,ESTRUTURA DA MATÉRIA,40001016049G0,Não,FÍSICA  - Presencial - Curitiba,40001016049G0,SETOR DE CIÊNCIAS EXATAS
CF2415,MÉTODOS DE FÍSICA TEÓRICA 1,40001016049G0,Não,FÍSICA  - Presencial - Curitiba,40001016049G0,SETOR DE CIÊNCIAS EXATAS
CF2426,LABORATÓRIO DE FÍSICA MODERNA,40001016049G0,Não,FÍSICA  - Presencial - Curitiba,40001016049G0,SETOR DE CIÊNCIAS EXATAS
HL917,INTRODUÇÃO AOS ESTUDOS LITERÁRIOS,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
HPAC0513,LITERATURA POLONESA EM TRADUÇÃO 1,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
LIB038,COMUNICAÇÃO EM LÍNGUA BRASILEIRA DE SINAIS-LIBRAS: FUNDAMENTOS DA EDUCAÇÃO BILÍNGUE PARA SURDOS,40001016067G0,Não,LETRAS  - Presencial - Curitiba,40001016067G0,SETOR DE CIÊNCIAS HUMANAS
BA044,ANATOMIA DOS ANIMAIS DOMÉSTICOS,40001016003G0,Não,AGRONOMIA  - Presencial - Curitiba,40001016003G0,SETOR DE CIÊNCIAS AGRÁRIAS
HF0014,ESTÉTICA I,40001016047G0,Não,FILOSOFIA  - Presencial - Curitiba,40001016047G0,SETOR DE CIÊNCIAS HUMANAS
HF0506,TÓPICOS ESPECIAIS EM FILOSOFIA ANTIGA II,40001016047G0,Não,FILOSOFIA  - Presencial - Curitiba,40001016047G0,SETOR DE CIÊNCIAS HUMANAS
TE341,ELETRÔNICA DE POTÊNCIA I,40001016039G0,Não,ENGENHARIA ELÉTRICA  - Presencial - Curitiba,40001016039G0,SETOR DE TECNOLOGIA
TE349,ESTÁGIO,40001016039G0,Não,ENGENHARIA ELÉTRICA  - Presencial - Curitiba,40001016039G0,SETOR DE TECNOLOGIA
TE356,SISTEMAS DE COMUNICAÇÕES ÓPTICAS E SEM FIO,40001016039G0,Não,ENGENHARIA ELÉTRICA  - Presencial - Curitiba,40001016039G0,SETOR DE TECNOLOGIA
TE901,BANCO DE DADOS PARA SISTEMAS EMBARCADOS,40001016039G0,Não,ENGENHARIA ELÉTRICA  - Presencial - Curitiba,40001016039G0,SETOR DE TECNOLOGIA
TE941,TÓPICOS ESPECIAIS EM ELETRÔNICA E TELECOMUNICAÇÕES I,40001016039G0,Não,ENGENHARIA ELÉTRICA  - Presencial - Curitiba,40001016039G0,SETOR DE TECNOLOGIA
SC303,CONTABILIDADE INTERMEDIÁRIA,40001016006G0,Não,CIÊNCIAS CONTÁBEIS  - Presencial - Curitiba,40001016006G0,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
SC307,CONTABILIDADE DE CUSTOS,40001016006G0,Não,CIÊNCIAS CONTÁBEIS  - Presencial - Curitiba,40001016006G0,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
SC315,GOVERNANÇA CORPORATIVA E COMPLIANCE,40001016006G0,Não,CIÊNCIAS CONTÁBEIS  - Presencial - Curitiba,40001016006G0,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
SC323,MÉTODOS QUANTITATIVOS,40001016006G0,Não,CIÊNCIAS CONTÁBEIS  - Presencial - Curitiba,40001016006G0,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
SC325,ÉTICA GERAL E PROFISSIONAL,40001016006G0,Não,CIÊNCIAS CONTÁBEIS  - Presencial - Curitiba,40001016006G0,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
BF091,FISIOLOGIA APLICADA À TERAPIA OCUPACIONAL,40001016112G0,Não,TERAPIA OCUPACIONAL  - Presencial - Curitiba,40001016112G0,SETOR DE CIÊNCIAS DA SAÚDE
BP076,PATOLOGIA GERAL,40001016112G0,Não,TERAPIA OCUPACIONAL  - Presencial - Curitiba,40001016112G0,SETOR DE CIÊNCIAS DA SAÚDE
STO156,CINESIOLOGIA E BIOMECÂNICA,40001016112G0,Não,TERAPIA OCUPACIONAL  - Presencial - Curitiba,40001016112G0,SETOR DE CIÊNCIAS DA SAÚDE
STO157,NEUROCIÊNCIAS PARA TERAPIA OCUPACIONAL,40001016112G0,Não,TERAPIA OCUPACIONAL  - Presencial - Curitiba,40001016112G0,SETOR DE CIÊNCIAS DA SAÚDE
STO158,INTRUDUÇÃO AO PROCESSO DE TERAPIA OCUPACIONAL,40001016112G0,Não,TERAPIA OCUPACIONAL  - Presencial - Curitiba,40001016112G0,SETOR DE CIÊNCIAS DA SAÚDE
STO159,"ÉTICA, BIOÉTICA E DEONTOLOGIA",40001016112G0,Não,TERAPIA OCUPACIONAL  - Presencial - Curitiba,40001016112G0,SETOR DE CIÊNCIAS DA SAÚDE
STO199,ATIVIDADES DE VIDA DIÁRIA E ATIVIDADES INSTRUMENTAIS DE VIDA DIÁRIA,40001016112G0,Não,TERAPIA OCUPACIONAL  - Presencial - Curitiba,40001016112G0,SETOR DE CIÊNCIAS DA SAÚDE
EM144,CARTOGRAFIA ESCOLAR,40001016082G0,Não,PEDAGOGIA  - Presencial - Curitiba,40001016082G0,SETOR DE EDUCAÇÃO
EM219,EDUCAÇÃO DO CORPO E DA INFÂNCIA,40001016082G0,Não,PEDAGOGIA  - Presencial - Curitiba,40001016082G0,SETOR DE EDUCAÇÃO
EM373,SEMINARIO DE ENSINO E PESQUISA,40001016082G0,Não,PEDAGOGIA  - Presencial - Curitiba,40001016082G0,SETOR DE EDUCAÇÃO
EP141,ORGANIZAÇÃO DO TRABALHO PEDAGÓGICO DA ALFABETIZAÇÃO DE JOVENS E ADULTOS,40001016082G0,Não,PEDAGOGIA  - Presencial - Curitiba,40001016082G0,SETOR DE EDUCAÇÃO
EP153,TRABALHO PEDAGÓGICO EM ESPAÇOS DE EDUCAÇÃO NÃO FORMAL,40001016082G0,Não,PEDAGOGIA  - Presencial - Curitiba,40001016082G0,SETOR DE EDUCAÇÃO
EP154,CURRÍCULO: TEORIA E PRÁTICA,40001016082G0,Não,PEDAGOGIA  - Presencial - Curitiba,40001016082G0,SETOR DE EDUCAÇÃO
